area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot Area,Under Construction,Adyar,2 BHK,Society3,2112,1,2,104.57
Carpet Area,Ready To Move,Tambaram,1 BHK,Society5,641,1,0,38.51
Plot Area,Ready To Move,Anna Nagar,5 BHK,Society2,5651,1,0,146.57
Built-up Area,Under Construction,Nungambakkam,3 BHK,Society1,3522,1,0,126.36
Carpet Area,Under Construction,Medavakkam,5 BHK,Society4,5324,4,2,257.38
Carpet Area,Under Construction,Sholinganallur,3 BHK,Society1,2864,4,0,157.99
Carpet Area,Ready To Move,Adyar,1 BHK,Society4,709,2,3,25.63
Plot Area,Under Construction,Adyar,3 BHK,Society3,2015,1,0,77.02
Built-up Area,Ready To Move,Sholinganallur,2 BHK,Society1,1046,2,3,32.45
Built-up Area,Ready To Move,Medavakkam,4 BHK,Society5,3537,1,3,213.65
Built-up Area,Ready To Move,Anna Nagar,2 BHK,Society4,1628,3,2,94.47
Carpet Area,Ready To Move,Thiruvanmiyur,4 BHK,Society2,2897,3,2,152.28
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society3,4169,1,0,269.74
Carpet Area,Under Construction,Tambaram,3 BHK,Society4,2620,2,1,164.88
Built-up Area,Ready To Move,Thiruvanmiyur,2 BHK,Society2,2126,3,1,94.57
Plot Area,Under Construction,Kodambakkam,2 BHK,Society3,1431,3,1,94.3
Built-up Area,Ready To Move,Anna Nagar,5 BHK,Society3,3821,5,2,158.25
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society1,2000,2,2,74.68
Plot Area,Under Construction,Nungambakkam,5 BHK,Society3,2580,1,1,101.66
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society5,2287,4,1,70.45
Plot Area,Ready To Move,Thiruvanmiyur,5 BHK,Society1,4838,4,0,158.51
Carpet Area,Ready To Move,Medavakkam,1 BHK,Society2,676,1,2,23.79
Built-up Area,Ready To Move,Thiruvanmiyur,3 BHK,Society4,2926,1,1,189.56
Carpet Area,Ready To Move,Medavakkam,3 BHK,Society2,1941,4,1,108.42
Carpet Area,Ready To Move,T. Nagar,3 BHK,Society1,2885,3,0,74.49
Carpet Area,Ready To Move,Tambaram,2 BHK,Society4,1629,3,0,110.85
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society1,3301,1,1,167.99
Plot Area,Under Construction,Velachery,1 BHK,Society3,591,2,2,22.46
Built-up Area,Ready To Move,Thiruvanmiyur,4 BHK,Society3,4680,2,2,161.12
Carpet Area,Under Construction,Thiruvanmiyur,4 BHK,Society3,2934,2,2,189.35
Plot Area,Under Construction,Sholinganallur,4 BHK,Society2,2803,3,1,185.98
Carpet Area,Ready To Move,Thiruvanmiyur,3 BHK,Society3,2697,2,3,71.63
Plot Area,Under Construction,Thiruvanmiyur,1 BHK,Society2,974,2,0,62.11
Built-up Area,Under Construction,Medavakkam,2 BHK,Society5,1123,1,3,62.79
Carpet Area,Under Construction,Tambaram,1 BHK,Society3,694,2,2,43.46
Built-up Area,Ready To Move,Kodambakkam,4 BHK,Society3,3484,3,3,153.42
Plot Area,Under Construction,Tambaram,1 BHK,Society3,1094,1,0,74.55
Plot Area,Ready To Move,Sholinganallur,2 BHK,Society5,1133,3,2,70.55
Built-up Area,Ready To Move,Anna Nagar,5 BHK,Society3,4724,3,3,298.15
Plot Area,Under Construction,Sholinganallur,2 BHK,Society5,2313,3,2,80.77
Built-up Area,Ready To Move,T. Nagar,3 BHK,Society4,1519,4,2,56.0
Plot Area,Ready To Move,Velachery,3 BHK,Society2,1919,1,3,82.57
Plot Area,Ready To Move,Medavakkam,4 BHK,Society2,2086,5,2,86.55
Carpet Area,Under Construction,Tambaram,1 BHK,Society5,622,2,0,39.87
Built-up Area,Ready To Move,Thiruvanmiyur,4 BHK,Society2,4632,4,2,233.11
Carpet Area,Under Construction,Tambaram,1 BHK,Society5,1064,2,3,32.76
Built-up Area,Ready To Move,Anna Nagar,5 BHK,Society5,4872,1,0,284.48
Plot Area,Under Construction,Adyar,1 BHK,Society5,594,1,3,38.22
Plot Area,Ready To Move,T. Nagar,4 BHK,Society4,3847,1,1,231.65
Plot Area,Under Construction,Velachery,5 BHK,Society4,4135,1,2,135.38
Plot Area,Ready To Move,Kodambakkam,1 BHK,Society1,530,2,0,17.16
Built-up Area,Under Construction,Kodambakkam,4 BHK,Society4,2767,3,3,105.67
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society2,2757,1,0,135.34
Plot Area,Under Construction,Kodambakkam,4 BHK,Society2,4650,1,2,295.47
Plot Area,Ready To Move,Adyar,2 BHK,Society5,2318,1,2,111.28
Plot Area,Under Construction,Medavakkam,3 BHK,Society1,1844,3,3,46.69
Plot Area,Under Construction,Anna Nagar,5 BHK,Society1,4016,5,0,171.67
Carpet Area,Ready To Move,Velachery,4 BHK,Society3,4663,1,3,221.34
Built-up Area,Under Construction,Kodambakkam,2 BHK,Society4,1734,1,1,114.45
Built-up Area,Ready To Move,Medavakkam,3 BHK,Society4,3386,4,2,191.36
Plot Area,Ready To Move,Thiruvanmiyur,1 BHK,Society5,706,2,1,39.69
Carpet Area,Under Construction,Thiruvanmiyur,5 BHK,Society2,5972,1,2,325.49
Built-up Area,Under Construction,Medavakkam,3 BHK,Society2,3360,2,0,132.94
Plot Area,Under Construction,Anna Nagar,2 BHK,Society4,1396,3,1,48.01
Plot Area,Ready To Move,Tambaram,1 BHK,Society4,998,2,2,42.94
Carpet Area,Ready To Move,Thiruvanmiyur,5 BHK,Society4,5587,5,1,210.75
Carpet Area,Ready To Move,T. Nagar,1 BHK,Society4,748,1,1,35.59
Built-up Area,Under Construction,Anna Nagar,3 BHK,Society4,2439,2,2,80.73
Carpet Area,Under Construction,Tambaram,1 BHK,Society5,1094,1,3,60.92
Built-up Area,Under Construction,Nungambakkam,1 BHK,Society1,1036,2,3,68.2
Carpet Area,Under Construction,Anna Nagar,1 BHK,Society4,851,2,0,52.59
Built-up Area,Ready To Move,Tambaram,1 BHK,Society2,1062,1,3,67.26
Plot Area,Under Construction,Nungambakkam,5 BHK,Society5,4287,1,3,252.13
Carpet Area,Under Construction,Kodambakkam,3 BHK,Society5,2083,4,3,144.85
Plot Area,Under Construction,Adyar,1 BHK,Society5,623,2,1,18.86
Plot Area,Under Construction,Anna Nagar,1 BHK,Society2,861,1,1,35.75
Plot Area,Ready To Move,Adyar,4 BHK,Society5,4683,3,2,166.78
Carpet Area,Under Construction,Velachery,4 BHK,Society1,4548,3,0,205.94
Plot Area,Ready To Move,Velachery,4 BHK,Society3,2869,2,1,172.97
Plot Area,Ready To Move,Medavakkam,2 BHK,Society2,1775,3,2,89.08
Carpet Area,Under Construction,T. Nagar,4 BHK,Society3,3001,2,2,126.33
Built-up Area,Under Construction,Medavakkam,3 BHK,Society2,2104,3,3,115.1
Carpet Area,Under Construction,Anna Nagar,3 BHK,Society5,2503,4,1,117.47
Built-up Area,Ready To Move,Anna Nagar,5 BHK,Society1,3568,5,1,233.86
Plot Area,Ready To Move,Nungambakkam,4 BHK,Society1,4124,1,2,211.7
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society4,846,1,3,37.99
Carpet Area,Ready To Move,Kodambakkam,3 BHK,Society2,2958,1,2,104.23
Built-up Area,Under Construction,Adyar,4 BHK,Society3,3541,4,0,247.07
Carpet Area,Under Construction,Anna Nagar,1 BHK,Society4,867,2,3,47.92
Carpet Area,Under Construction,Anna Nagar,3 BHK,Society1,2566,2,2,173.33
Plot Area,Ready To Move,Nungambakkam,5 BHK,Society1,2830,3,0,135.71
Plot Area,Ready To Move,Velachery,1 BHK,Society1,980,2,2,31.39
Built-up Area,Under Construction,Nungambakkam,4 BHK,Society5,3159,1,0,168.2
Carpet Area,Ready To Move,T. Nagar,2 BHK,Society3,2106,1,3,129.46
Carpet Area,Ready To Move,Sholinganallur,1 BHK,Society5,756,1,0,43.63
Carpet Area,Under Construction,Kodambakkam,2 BHK,Society2,2153,1,3,121.69
Built-up Area,Ready To Move,Anna Nagar,5 BHK,Society2,5062,2,3,158.49
Built-up Area,Ready To Move,Velachery,4 BHK,Society1,3359,3,1,227.73
Plot Area,Under Construction,Thiruvanmiyur,3 BHK,Society4,3275,4,3,151.11
Plot Area,Under Construction,T. Nagar,4 BHK,Society1,3213,5,0,117.68
Carpet Area,Under Construction,Kodambakkam,5 BHK,Society3,5877,2,2,217.33
Plot Area,Ready To Move,Tambaram,4 BHK,Society5,2218,3,2,133.87
Carpet Area,Ready To Move,Tambaram,4 BHK,Society3,2222,1,1,90.79
Plot Area,Ready To Move,Nungambakkam,5 BHK,Society3,3201,1,3,188.65
Carpet Area,Ready To Move,Thiruvanmiyur,2 BHK,Society1,2054,3,1,136.06
Plot Area,Ready To Move,Medavakkam,5 BHK,Society5,3605,1,0,111.08
Plot Area,Under Construction,Adyar,2 BHK,Society2,1402,3,1,47.94
Carpet Area,Under Construction,Nungambakkam,2 BHK,Society4,1842,2,3,86.14
Built-up Area,Under Construction,Velachery,5 BHK,Society5,3430,1,1,180.2
Plot Area,Ready To Move,Anna Nagar,1 BHK,Society3,1155,2,0,54.03
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society2,4514,5,3,308.33
Built-up Area,Under Construction,Velachery,5 BHK,Society2,2589,3,0,128.39
Built-up Area,Under Construction,Nungambakkam,4 BHK,Society1,3603,5,1,119.93
Plot Area,Under Construction,Sholinganallur,1 BHK,Society3,884,1,1,27.99
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society1,2273,4,2,122.11
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society2,4292,5,0,281.89
Built-up Area,Ready To Move,Sholinganallur,3 BHK,Society5,1621,4,2,106.49
Built-up Area,Under Construction,Anna Nagar,4 BHK,Society5,4349,4,2,112.67
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society5,5212,4,3,269.17
Plot Area,Under Construction,Anna Nagar,2 BHK,Society5,1050,3,0,58.9
Built-up Area,Ready To Move,Tambaram,3 BHK,Society3,2069,4,2,116.01
Plot Area,Ready To Move,T. Nagar,3 BHK,Society3,3598,3,1,110.6
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society3,863,1,1,27.5
Carpet Area,Ready To Move,T. Nagar,1 BHK,Society2,641,1,0,32.27
Carpet Area,Ready To Move,Medavakkam,5 BHK,Society1,3926,3,3,203.12
Carpet Area,Under Construction,T. Nagar,4 BHK,Society3,3034,4,0,92.73
Built-up Area,Under Construction,T. Nagar,1 BHK,Society1,725,2,1,41.4
Built-up Area,Under Construction,Velachery,5 BHK,Society1,5565,3,2,266.7
Plot Area,Under Construction,Anna Nagar,5 BHK,Society1,3112,3,2,183.12
Plot Area,Ready To Move,Anna Nagar,5 BHK,Society3,5627,1,1,388.75
Plot Area,Ready To Move,T. Nagar,5 BHK,Society4,2666,3,3,93.48
Carpet Area,Under Construction,Kodambakkam,1 BHK,Society5,688,1,0,25.26
Carpet Area,Ready To Move,Anna Nagar,4 BHK,Society1,4669,2,3,190.27
Plot Area,Ready To Move,Anna Nagar,4 BHK,Society4,2732,4,0,185.36
Built-up Area,Under Construction,Sholinganallur,5 BHK,Society1,5549,5,1,312.69
Carpet Area,Ready To Move,Medavakkam,5 BHK,Society5,4972,1,3,241.24
Plot Area,Under Construction,T. Nagar,1 BHK,Society4,795,1,3,43.45
Carpet Area,Under Construction,Adyar,3 BHK,Society2,2716,3,1,152.55
Carpet Area,Under Construction,Medavakkam,1 BHK,Society2,915,1,2,32.96
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society4,3016,2,1,208.64
Carpet Area,Ready To Move,Velachery,4 BHK,Society5,2578,5,0,74.12
Built-up Area,Ready To Move,Thiruvanmiyur,3 BHK,Society1,2421,4,1,110.25
Carpet Area,Under Construction,Kodambakkam,5 BHK,Society4,5365,2,3,339.04
Built-up Area,Ready To Move,Medavakkam,5 BHK,Society1,2964,5,3,199.02
Built-up Area,Under Construction,Sholinganallur,1 BHK,Society4,681,2,3,17.3
Built-up Area,Under Construction,Adyar,3 BHK,Society3,2067,4,2,98.17
Carpet Area,Under Construction,Thiruvanmiyur,5 BHK,Society5,4476,5,3,306.9
Carpet Area,Ready To Move,Medavakkam,4 BHK,Society3,2825,1,2,157.48
Plot Area,Ready To Move,Adyar,3 BHK,Society2,2256,1,0,63.91
Plot Area,Ready To Move,Nungambakkam,3 BHK,Society2,2562,1,0,172.68
Plot Area,Under Construction,Medavakkam,4 BHK,Society4,2258,1,2,58.07
Carpet Area,Under Construction,Medavakkam,2 BHK,Society3,1558,1,2,71.53
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society3,1627,3,1,84.48
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society4,4357,5,3,254.15
Plot Area,Ready To Move,Anna Nagar,3 BHK,Society4,2646,3,2,155.7
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society3,4015,5,1,262.36
Built-up Area,Under Construction,Tambaram,4 BHK,Society3,3524,3,1,166.12
Carpet Area,Under Construction,Nungambakkam,4 BHK,Society5,3591,4,1,185.32
Plot Area,Ready To Move,Nungambakkam,2 BHK,Society5,1056,3,1,44.26
Carpet Area,Ready To Move,Kodambakkam,1 BHK,Society5,1056,2,1,29.38
Carpet Area,Ready To Move,Adyar,1 BHK,Society2,1113,2,0,59.08
Built-up Area,Ready To Move,Tambaram,5 BHK,Society3,4349,3,1,126.96
Built-up Area,Ready To Move,Velachery,1 BHK,Society4,1023,1,1,60.59
Carpet Area,Under Construction,Kodambakkam,1 BHK,Society5,1089,2,3,50.38
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society4,1284,1,1,60.7
Plot Area,Ready To Move,Nungambakkam,3 BHK,Society3,1577,1,0,80.07
Plot Area,Ready To Move,Velachery,5 BHK,Society4,5534,2,2,216.98
Built-up Area,Under Construction,Adyar,5 BHK,Society4,4997,2,3,324.34
Plot Area,Ready To Move,Nungambakkam,4 BHK,Society5,3445,4,0,161.14
Carpet Area,Ready To Move,Nungambakkam,2 BHK,Society5,1192,2,3,63.36
Carpet Area,Under Construction,Anna Nagar,3 BHK,Society3,2281,4,1,134.71
Plot Area,Under Construction,Kodambakkam,3 BHK,Society2,3075,3,1,196.67
Plot Area,Ready To Move,Tambaram,5 BHK,Society2,5736,1,1,303.17
Carpet Area,Under Construction,T. Nagar,1 BHK,Society4,1176,1,3,47.39
Carpet Area,Ready To Move,Medavakkam,1 BHK,Society4,958,1,1,31.38
Carpet Area,Ready To Move,Sholinganallur,5 BHK,Society4,2860,1,2,111.43
Built-up Area,Ready To Move,Adyar,5 BHK,Society3,3297,3,2,156.98
Built-up Area,Under Construction,Adyar,2 BHK,Society1,1997,1,1,88.11
Built-up Area,Ready To Move,Adyar,4 BHK,Society1,3110,5,2,195.0
Carpet Area,Under Construction,Medavakkam,5 BHK,Society5,5212,1,1,307.76
Plot Area,Under Construction,Velachery,3 BHK,Society1,2786,3,0,96.05
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society5,567,2,0,16.18
Built-up Area,Ready To Move,Nungambakkam,3 BHK,Society1,2549,1,0,137.54
Built-up Area,Under Construction,Adyar,5 BHK,Society3,2614,3,0,123.86
Plot Area,Under Construction,Kodambakkam,2 BHK,Society4,1850,3,2,85.23
Built-up Area,Ready To Move,Kodambakkam,5 BHK,Society5,5069,1,0,266.64
Built-up Area,Under Construction,Velachery,1 BHK,Society2,813,1,0,48.42
Carpet Area,Under Construction,Velachery,4 BHK,Society3,3820,5,1,244.76
Built-up Area,Ready To Move,Anna Nagar,1 BHK,Society1,930,2,0,44.99
Built-up Area,Under Construction,Tambaram,5 BHK,Society2,3747,5,2,240.29
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society2,5309,5,1,230.77
Built-up Area,Under Construction,Medavakkam,1 BHK,Society4,903,2,0,43.34
Carpet Area,Under Construction,T. Nagar,3 BHK,Society1,2849,1,3,164.91
Carpet Area,Under Construction,Medavakkam,3 BHK,Society1,1788,4,2,112.53
Built-up Area,Under Construction,Kodambakkam,4 BHK,Society1,3269,1,0,215.25
Plot Area,Ready To Move,Tambaram,1 BHK,Society4,1050,1,2,29.51
Carpet Area,Under Construction,Kodambakkam,4 BHK,Society1,3043,3,3,164.05
Plot Area,Under Construction,Thiruvanmiyur,4 BHK,Society3,3817,5,2,120.8
Plot Area,Under Construction,Nungambakkam,5 BHK,Society5,4649,2,3,238.04
Carpet Area,Under Construction,Nungambakkam,1 BHK,Society1,944,2,0,33.43
Built-up Area,Under Construction,Adyar,2 BHK,Society3,2328,1,0,152.72
Carpet Area,Ready To Move,Sholinganallur,5 BHK,Society4,5182,3,1,168.13
Built-up Area,Ready To Move,Anna Nagar,3 BHK,Society1,3339,1,2,230.23
Plot Area,Under Construction,Thiruvanmiyur,4 BHK,Society5,3975,1,2,219.53
Carpet Area,Ready To Move,Kodambakkam,3 BHK,Society4,1587,4,0,59.43
Built-up Area,Ready To Move,Nungambakkam,1 BHK,Society1,985,2,1,58.61
Carpet Area,Under Construction,Thiruvanmiyur,1 BHK,Society2,1158,2,0,33.78
Built-up Area,Ready To Move,Tambaram,5 BHK,Society1,4582,2,3,213.07
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society4,1168,1,0,36.28
Carpet Area,Ready To Move,Tambaram,1 BHK,Society2,582,1,2,26.33
Built-up Area,Ready To Move,Kodambakkam,2 BHK,Society3,1677,1,2,68.11
Built-up Area,Ready To Move,Anna Nagar,5 BHK,Society1,2974,2,2,115.87
Built-up Area,Under Construction,Thiruvanmiyur,3 BHK,Society2,3141,2,2,123.22
Plot Area,Ready To Move,Medavakkam,2 BHK,Society5,1782,3,2,62.75
Carpet Area,Under Construction,Adyar,5 BHK,Society4,3759,3,0,94.65
Plot Area,Under Construction,Kodambakkam,5 BHK,Society1,3940,4,1,171.95
Plot Area,Under Construction,Velachery,5 BHK,Society4,4536,4,1,209.78
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society4,3206,2,2,87.91
Carpet Area,Ready To Move,Adyar,3 BHK,Society5,2801,1,3,111.04
Carpet Area,Under Construction,Adyar,4 BHK,Society2,2203,2,3,57.46
Plot Area,Ready To Move,Anna Nagar,4 BHK,Society3,2958,5,3,141.66
Plot Area,Ready To Move,Nungambakkam,3 BHK,Society1,1592,2,2,81.14
Built-up Area,Ready To Move,Velachery,5 BHK,Society3,5111,5,1,137.74
Carpet Area,Under Construction,T. Nagar,5 BHK,Society5,4503,3,1,194.92
Carpet Area,Under Construction,Thiruvanmiyur,4 BHK,Society1,2211,2,0,121.41
Carpet Area,Under Construction,Medavakkam,3 BHK,Society2,2896,3,0,196.73
Built-up Area,Under Construction,Velachery,3 BHK,Society1,1542,4,0,69.97
Built-up Area,Under Construction,Adyar,5 BHK,Society3,4765,2,2,297.36
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society5,3374,2,3,209.0
Built-up Area,Under Construction,Medavakkam,2 BHK,Society5,1047,1,3,70.39
Built-up Area,Ready To Move,Kodambakkam,1 BHK,Society4,1146,1,2,66.37
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society4,604,2,3,23.75
Built-up Area,Under Construction,Nungambakkam,3 BHK,Society2,3034,4,1,107.64
Built-up Area,Ready To Move,Nungambakkam,1 BHK,Society4,605,1,0,24.07
Built-up Area,Under Construction,Velachery,4 BHK,Society2,4592,3,0,231.45
Carpet Area,Under Construction,Sholinganallur,1 BHK,Society2,902,1,0,25.66
Built-up Area,Under Construction,Kodambakkam,2 BHK,Society4,2070,1,2,64.74
Built-up Area,Ready To Move,Sholinganallur,5 BHK,Society4,2928,2,2,158.22
Plot Area,Ready To Move,Anna Nagar,5 BHK,Society1,2625,4,3,71.41
Carpet Area,Under Construction,Nungambakkam,4 BHK,Society3,3737,3,2,122.27
Plot Area,Under Construction,Nungambakkam,5 BHK,Society5,4647,4,0,306.92
Carpet Area,Under Construction,Nungambakkam,1 BHK,Society3,945,1,3,45.92
Carpet Area,Ready To Move,Nungambakkam,2 BHK,Society4,1435,1,0,46.39
Carpet Area,Ready To Move,Thiruvanmiyur,2 BHK,Society3,2054,3,1,95.13
Built-up Area,Ready To Move,T. Nagar,3 BHK,Society2,2473,3,3,151.67
Plot Area,Ready To Move,Thiruvanmiyur,1 BHK,Society2,770,1,2,29.75
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society2,5126,1,3,318.4
Carpet Area,Under Construction,Velachery,1 BHK,Society1,889,1,0,35.24
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society3,1931,3,3,53.92
Built-up Area,Under Construction,Nungambakkam,1 BHK,Society1,916,1,3,59.18
Carpet Area,Under Construction,Tambaram,5 BHK,Society1,5782,5,2,400.79
Carpet Area,Ready To Move,Adyar,5 BHK,Society3,3486,3,1,212.06
Built-up Area,Ready To Move,Nungambakkam,1 BHK,Society4,796,1,0,27.06
Built-up Area,Ready To Move,Velachery,1 BHK,Society1,656,1,3,36.91
Built-up Area,Ready To Move,Medavakkam,2 BHK,Society5,1842,2,1,103.24
Carpet Area,Ready To Move,Medavakkam,4 BHK,Society5,2725,1,3,146.9
Built-up Area,Ready To Move,Thiruvanmiyur,3 BHK,Society5,2788,2,3,109.66
Built-up Area,Under Construction,Nungambakkam,5 BHK,Society3,3251,2,3,116.46
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society3,4896,5,2,234.27
Plot Area,Under Construction,Anna Nagar,1 BHK,Society4,1021,1,2,38.18
Plot Area,Under Construction,Velachery,2 BHK,Society4,1302,2,3,63.1
Plot Area,Ready To Move,Tambaram,4 BHK,Society5,3761,1,3,212.94
Carpet Area,Ready To Move,Medavakkam,5 BHK,Society1,5697,1,1,377.89
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society3,4314,1,2,128.32
Plot Area,Ready To Move,Anna Nagar,2 BHK,Society5,2132,3,3,130.09
Built-up Area,Ready To Move,Tambaram,4 BHK,Society3,3342,2,2,178.89
Plot Area,Ready To Move,Anna Nagar,3 BHK,Society1,3064,4,1,198.1
Built-up Area,Ready To Move,Anna Nagar,1 BHK,Society1,875,1,1,30.11
Plot Area,Ready To Move,Kodambakkam,2 BHK,Society5,2325,3,2,151.14
Built-up Area,Under Construction,Kodambakkam,4 BHK,Society5,3081,1,3,108.88
Plot Area,Under Construction,Anna Nagar,1 BHK,Society4,1053,2,1,56.66
Carpet Area,Under Construction,Nungambakkam,4 BHK,Society3,2241,2,0,87.15
Built-up Area,Ready To Move,Adyar,5 BHK,Society1,3900,1,0,120.37
Built-up Area,Ready To Move,Nungambakkam,1 BHK,Society4,840,2,1,52.09
Carpet Area,Ready To Move,T. Nagar,1 BHK,Society5,1175,1,0,69.06
Built-up Area,Under Construction,Sholinganallur,3 BHK,Society1,2443,1,1,96.15
Built-up Area,Ready To Move,Velachery,3 BHK,Society1,2575,4,1,101.49
Built-up Area,Ready To Move,Tambaram,5 BHK,Society5,4136,3,1,162.86
Plot Area,Under Construction,Sholinganallur,1 BHK,Society1,848,2,2,44.33
Plot Area,Under Construction,Adyar,5 BHK,Society5,5395,1,3,248.63
Carpet Area,Ready To Move,Medavakkam,4 BHK,Society2,4158,5,0,124.31
Plot Area,Under Construction,Kodambakkam,2 BHK,Society1,2368,2,3,152.0
Carpet Area,Under Construction,T. Nagar,4 BHK,Society3,2587,5,3,161.5
Plot Area,Under Construction,Sholinganallur,3 BHK,Society1,2067,1,0,142.36
Built-up Area,Under Construction,Medavakkam,3 BHK,Society5,2376,4,1,143.55
Carpet Area,Ready To Move,T. Nagar,2 BHK,Society4,1032,3,2,48.27
Built-up Area,Ready To Move,T. Nagar,2 BHK,Society3,1067,3,1,29.12
Built-up Area,Ready To Move,Nungambakkam,3 BHK,Society3,3194,4,1,186.97
Built-up Area,Ready To Move,Medavakkam,1 BHK,Society3,600,1,2,24.92
Plot Area,Ready To Move,Tambaram,2 BHK,Society1,1403,2,1,77.77
Built-up Area,Under Construction,Tambaram,5 BHK,Society2,4060,3,1,253.58
Plot Area,Ready To Move,Nungambakkam,1 BHK,Society4,1151,1,0,72.87
Plot Area,Under Construction,Anna Nagar,5 BHK,Society2,3462,5,2,198.71
Built-up Area,Ready To Move,Adyar,2 BHK,Society5,2387,2,0,92.58
Built-up Area,Under Construction,Adyar,2 BHK,Society5,1499,3,2,65.64
Plot Area,Ready To Move,Nungambakkam,1 BHK,Society1,563,2,3,36.56
Built-up Area,Ready To Move,T. Nagar,1 BHK,Society1,1078,2,0,40.99
Carpet Area,Ready To Move,Kodambakkam,5 BHK,Society5,4984,4,1,219.5
Plot Area,Under Construction,Nungambakkam,4 BHK,Society5,3220,4,0,182.31
Plot Area,Under Construction,Velachery,5 BHK,Society3,3035,2,3,173.45
Built-up Area,Ready To Move,Tambaram,3 BHK,Society5,3219,1,3,103.75
Built-up Area,Under Construction,T. Nagar,4 BHK,Society4,3504,5,3,152.73
Built-up Area,Ready To Move,Medavakkam,1 BHK,Society4,944,2,0,49.44
Carpet Area,Under Construction,Velachery,3 BHK,Society4,2126,2,3,133.33
Plot Area,Ready To Move,Medavakkam,4 BHK,Society3,3664,2,1,235.11
Built-up Area,Under Construction,T. Nagar,4 BHK,Society1,4473,1,0,280.53
Plot Area,Under Construction,Velachery,3 BHK,Society3,1725,3,2,113.99
Plot Area,Ready To Move,Tambaram,2 BHK,Society3,1474,2,0,90.68
Built-up Area,Under Construction,Medavakkam,3 BHK,Society5,2708,1,2,131.96
Built-up Area,Under Construction,Nungambakkam,1 BHK,Society2,561,2,2,33.02
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society1,1383,3,1,41.13
Plot Area,Under Construction,Kodambakkam,1 BHK,Society2,1029,2,0,36.13
Plot Area,Under Construction,Anna Nagar,5 BHK,Society2,4253,3,3,290.79
Plot Area,Under Construction,Medavakkam,3 BHK,Society4,3423,3,0,210.68
Built-up Area,Under Construction,Nungambakkam,4 BHK,Society1,4116,4,2,122.92
Carpet Area,Ready To Move,Anna Nagar,4 BHK,Society2,2189,5,2,127.84
Plot Area,Ready To Move,Medavakkam,2 BHK,Society5,1428,2,0,37.89
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society1,2744,2,3,97.34
Carpet Area,Under Construction,Adyar,5 BHK,Society2,4675,3,2,161.51
Built-up Area,Ready To Move,Anna Nagar,3 BHK,Society4,1838,1,0,117.28
Built-up Area,Ready To Move,Medavakkam,5 BHK,Society3,3766,2,0,101.87
Plot Area,Under Construction,Anna Nagar,3 BHK,Society3,2332,4,1,63.34
Built-up Area,Under Construction,Kodambakkam,2 BHK,Society4,1397,2,1,47.87
Built-up Area,Ready To Move,Anna Nagar,2 BHK,Society5,1492,3,1,45.95
Plot Area,Ready To Move,Sholinganallur,2 BHK,Society4,1279,1,3,55.41
Built-up Area,Ready To Move,Nungambakkam,5 BHK,Society1,2915,5,3,117.98
Carpet Area,Ready To Move,Velachery,2 BHK,Society5,1718,2,0,116.71
Plot Area,Ready To Move,Anna Nagar,4 BHK,Society2,3857,5,3,130.48
Plot Area,Under Construction,Thiruvanmiyur,5 BHK,Society3,3955,2,3,158.3
Plot Area,Under Construction,Tambaram,3 BHK,Society3,2909,2,3,201.03
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society4,1147,3,3,47.5
Built-up Area,Under Construction,Adyar,3 BHK,Society3,3314,2,2,177.29
Built-up Area,Ready To Move,Velachery,3 BHK,Society3,1705,4,3,73.12
Plot Area,Under Construction,Adyar,2 BHK,Society4,2370,3,3,116.34
Carpet Area,Under Construction,Sholinganallur,3 BHK,Society4,3131,2,3,152.5
Plot Area,Ready To Move,Nungambakkam,2 BHK,Society1,1657,1,3,75.12
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society1,1181,1,1,50.59
